Config,Temp,Top-P,Top-K,PP,F1-Micro,F1-Macro,Prec-Macro,Rec-Macro,Prec-Micro,Rec-Micro
v6_F_refined_9_temp065_topp75,0.65,0.75,20,2.0,68.34,67.93,74.63,64.97,74.67,63.0
v6_F_refined_5_pp18,0.7,0.8,20,1.8,68.18,66.64,73.71,63.51,74.61,62.78
v6_F_cons_off_pres,0.7,0.8,20,2.0,67.71,66.28,73.43,63.21,74.73,61.89
v6_F_refined_7_topp75,0.7,0.75,20,2.0,67.07,67.45,74.88,64.39,73.49,61.67
v6_F_refined_3_topk30,0.7,0.8,30,2.0,66.5,64.93,73.19,61.44,74.39,60.13
v6_F_refined_1_temp06,0.6,0.8,20,2.0,66.42,64.14,72.12,60.85,73.85,60.35
v6_E_cons,0.7,0.8,20,1.5,66.12,65.2,70.72,63.16,70.12,62.56
v6_F_refined_10_temp06_pp22,0.6,0.8,20,2.2,66.02,64.19,71.16,60.65,73.51,59.91
v6_F_refined_8_topp85,0.7,0.85,20,2.0,66.01,64.0,71.33,61.07,74.18,59.47
v6_F_refined_6_pp22,0.7,0.8,20,2.2,65.94,64.84,71.81,61.75,72.68,60.35
v6_F_refined_11_pp25,0.7,0.8,20,2.5,65.84,64.56,74.66,59.52,75.86,58.15
v6_F_refined_12_pp27,0.7,0.8,20,2.7,65.41,64.63,74.63,60.05,76.25,57.27
v6_F_refined_2_temp08,0.8,0.8,20,2.0,65.19,63.38,71.19,59.41,73.82,58.37
v6_F_refined_4_topk10,0.7,0.8,10,2.0,65.06,64.07,70.0,61.38,71.81,59.47
v6_G_bal,0.8,0.95,20,1.5,64.22,63.47,68.76,61.99,69.49,59.69
v6_D_no_pres,1.0,1.0,20,0.0,59.47,56.74,58.83,60.22,57.23,61.89
v6_H_narrow_off,1.0,0.95,20,2.0,59.14,57.62,65.39,54.4,66.76,53.08
v6_B_lower_pres,1.0,1.0,20,1.0,57.72,57.18,63.22,56.95,62.63,53.52
v6_C_med_pres,1.0,1.0,20,1.5,57.0,56.05,64.52,53.26,64.44,51.1
v6_A_official,1.0,1.0,20,2.0,55.87,55.53,66.22,51.3,66.36,48.24
