trial_number,temperature,top_p,top_k,presence_penalty,score,f1_macro,f1_micro,precision_macro,recall_macro,precision_micro,recall_micro,time_sec
0,0.65,0.75,20,2.0,67.15564186255816,65.74486960850597,67.62589928057555,72.23484848484851,62.50450937950941,74.21052631578948,62.11453744493392,93.93354892730713
1,0.7,0.8,20,1.8,67.50475226627596,67.20210765665313,67.6056338028169,72.67316017316018,65.2886002886003,72.36180904522612,63.436123348017624,96.58116126060486
2,0.7,0.8,20,2.0,68.02157018818716,67.31301106301109,68.25775656324583,74.16666666666669,64.24693362193364,74.47916666666667,62.99559471365639,94.33879065513611
3,0.7,0.75,20,2.0,65.49635610490873,64.61700336700335,65.78947368421052,71.19107744107743,61.50703463203463,71.98952879581152,60.5726872246696,93.84820365905762
4,0.7,0.8,30,2.0,66.2216553821853,65.83787004241549,66.34958382877525,72.3737373737374,63.375721500721504,72.09302325581395,61.45374449339207,93.79921388626099
5,0.62,0.75,15,2.2,66.99306451691712,66.0281511417875,67.31470230862698,73.93939393939394,62.09415584415585,75.06775067750678,61.013215859030836,93.14135694503784
6,0.7,0.8,25,1.9,66.57999828454373,66.31999313817496,66.66666666666667,73.10606060606062,63.18632756132758,73.15789473684211,61.23348017621145,93.55533742904663
7,0.62,0.78,25,2.2,66.13911910034903,65.29177051904321,66.42156862745097,72.57575757575758,61.03986291486293,74.86187845303867,59.691629955947135,91.07974481582642
8,0.7,0.72,25,1.9,66.33277901564136,65.56977954705226,66.58711217183772,71.43939393939394,62.826479076479096,72.65625,61.45374449339207,93.9237232208252
9,0.7,0.82,20,2.2,65.34079256261296,65.27993891630254,65.36107711138311,73.16919191919193,61.52507215007216,73.55371900826447,58.81057268722467,91.2083945274353
10,0.68,0.72,30,1.7,68.37560941364171,67.54296208841663,68.65315852205006,73.73737373737374,64.61309523809527,74.8051948051948,63.436123348017624,94.30447459220886
11,0.68,0.72,30,1.7,67.29899455755101,66.10809224445588,67.69596199524939,71.7929292929293,63.97546897546897,73.45360824742268,62.77533039647577,96.75506830215454
12,0.72,0.72,30,1.7,66.96059743906633,66.43888098433553,67.1345029239766,72.28896103896106,63.90602453102455,71.57107231920199,63.215859030837,97.45179057121277
13,0.6,0.78,15,2.1,66.26343338308254,65.53917042553405,66.50485436893203,73.1439393939394,62.05627705627707,74.05405405405405,60.352422907488986,92.09919309616089
14,0.68,0.82,30,1.7,65.58215100498084,64.94143062324879,65.7957244655582,70.57178932178934,63.028499278499275,71.3917525773196,61.013215859030836,95.16297268867493
15,0.68,0.72,20,1.8,68.80881114333827,68.36320665866121,68.95734597156397,74.34163059163062,65.61056998557,74.61538461538461,64.09691629955947,95.05333423614502
16,0.68,0.72,30,1.8,66.2090985835005,65.53814871996691,66.43274853801171,70.34090909090911,64.04491341991344,70.82294264339153,62.55506607929515,96.0168993473053
17,0.68,0.72,15,1.8,67.6802622420571,66.66376973195153,68.01909307875896,73.37121212121212,63.66612554112555,74.21875,62.77533039647577,94.56379127502441
18,0.68,0.72,20,2.1,67.82711658562903,67.69835803926709,67.87003610108302,74.36868686868686,64.85299422799424,74.80106100795756,62.11453744493392,93.34314918518066
19,0.6,0.72,30,1.8,66.60049486561942,65.69023569023568,66.90391459074733,71.17424242424242,63.47673160173161,72.49357326478149,62.11453744493392,94.76894688606262
20,0.72,0.72,30,1.7,66.95498677123435,65.69228751046931,67.37588652482269,71.36363636363636,63.36309523809525,72.70408163265306,62.77533039647577,95.43133544921875
21,0.65,0.8,20,1.7,68.0950804395887,67.39811535266081,68.32740213523132,73.3459595959596,64.97294372294373,74.03598971722366,63.436123348017624,95.46578598022461
22,0.65,0.8,20,1.7,65.37203814977917,65.21341453159631,65.42491268917345,70.70256132756133,63.07269119769121,69.38271604938272,61.8942731277533,97.36470103263855
23,0.65,0.82,20,1.7,64.90762667956113,64.28166950894222,65.11627906976744,69.26767676767678,62.79491341991344,68.96551724137932,61.67400881057269,97.85499477386475
24,0.65,0.78,20,1.7,67.22533432232166,66.57575589393772,67.44186046511629,70.45875420875421,65.40223665223668,71.42857142857143,63.87665198237885,97.00037980079651
25,0.68,0.8,20,1.8,65.66136361175163,64.73604678150129,65.96980255516841,70.35143097643098,63.05375180375181,69.77886977886978,62.55506607929515,98.91335558891296
26,0.68,0.72,15,1.7,65.66835901407579,64.56692718056352,66.03550295857987,70.30663780663781,62.08784271284273,71.35549872122762,61.45374449339207,95.32140302658081
27,0.65,0.72,25,1.9,66.47561902721644,64.7091586864314,67.06443914081146,70.6439393939394,62.10046897546897,73.17708333333333,61.8942731277533,94.58172821998596
28,0.68,0.8,20,2.1,66.67527721450031,65.73375698375698,66.98911729141476,73.03030303030306,62.47294372294375,74.2627345844504,61.013215859030836,92.96589612960815
29,0.65,0.75,20,1.8,68.04150691175633,66.94037444037446,68.40855106888361,72.55050505050507,64.65097402597404,74.22680412371135,63.436123348017624,94.58074903488159
