Aspect,TP,FP,FN,Precision,Recall,F1
ambience,24,20,23,54.5%,51.1%,0.527
drinks_prices,0,1,3,0.0%,0.0%,0.000
drinks_quality,3,3,7,50.0%,30.0%,0.375
drinks_style_options,2,3,4,40.0%,33.3%,0.364
food_prices,4,2,22,66.7%,15.4%,0.250
food_quality,82,24,18,77.4%,82.0%,0.796
food_style_options,5,6,19,45.5%,20.8%,0.286
location,1,0,3,100.0%,25.0%,0.400
restaurant_general,79,12,49,86.8%,61.7%,0.721
restaurant_prices,11,14,13,44.0%,45.8%,0.449
service,67,7,15,90.5%,81.7%,0.859
MACRO AVERAGE,278,92,176,75.1%,61.2%,0.675
